"Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"{4E95D757-1BEE-EDA1-E050-A8C0630539E2}","1750000","2017-04-13 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BEF-EDA1-E050-A8C0630539E2}","1449500","2017-04-03 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BF1-EDA1-E050-A8C0630539E2}","1375000","2017-01-16 00:00","F","N","L","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","A","A"
"{4E95D757-1BF2-EDA1-E050-A8C0630539E2}","750000","2017-02-15 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BF3-EDA1-E050-A8C0630539E2}","460000","2017-03-24 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BF4-EDA1-E050-A8C0630539E2}","275000","2017-03-21 00:00","F","N","L","ROMFORD","HAVERING","GREATER LONDON","A","A"
"{4E95D757-1BF5-EDA1-E050-A8C0630539E2}","1300000","2017-02-20 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BF7-EDA1-E050-A8C0630539E2}","2100000","2017-04-06 00:00","T","N","F","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BF8-EDA1-E050-A8C0630539E2}","217500","2017-03-30 00:00","F","N","L","HORNCHURCH","HAVERING","GREATER LONDON","A","A"
"{4E95D757-1BF9-EDA1-E050-A8C0630539E2}","1270000","2017-04-07 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BFB-EDA1-E050-A8C0630539E2}","315000","2017-04-13 00:00","F","N","L","ILFORD","REDBRIDGE","GREATER LONDON","B","A"
"{4E95D757-1BFC-EDA1-E050-A8C0630539E2}","405000","2017-03-28 00:00","T","N","F","ROMFORD","HAVERING","GREATER LONDON","A","A"
"{4E95D757-1BFD-EDA1-E050-A8C0630539E2}","2720000","2017-03-30 00:00","F","N","L","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{4E95D757-1BFE-EDA1-E050-A8C0630539E2}","306000","2017-04-21 00:00","F","N","L","ROMFORD","HAVERING","GREATER LONDON","A","A"
"{50F18103-CE2C-9FD5-E050-A8C063054923}","1775000","2017-04-26 00:00","O","N","F","THATCHAM","WEST BERKSHIRE","WEST BERKSHIRE","B","A"
"{50F18103-CE2D-9FD5-E050-A8C063054923}","251000","2017-05-10 00:00","T","N","F","SLOUGH","SLOUGH","SLOUGH","B","A"
"{50F18103-CE2E-9FD5-E050-A8C063054923}","5000000","2017-03-31 00:00","O","N","F","ASCOT","WINDSOR AND MAIDENHEAD","WINDSOR AND MAIDENHEAD","B","A"
"{50F18103-CE2F-9FD5-E050-A8C063054923}","2085000","2017-04-07 00:00","O","N","F","NEWBURY","WEST BERKSHIRE","WEST BERKSHIRE","B","A"
"{50F18103-D071-9FD5-E050-A8C063054923}","155000","2017-04-12 00:00","F","N","F","HARTLEPOOL","HARTLEPOOL","HARTLEPOOL","B","A"
"{50F18103-D072-9FD5-E050-A8C063054923}","489700","2017-04-21 00:00","O","N","F","HARTLEPOOL","HARTLEPOOL","HARTLEPOOL","B","A"
"{50F18103-D073-9FD5-E050-A8C063054923}","28500","2017-02-08 00:00","T","N","F","MIDDLESBROUGH","MIDDLESBROUGH","MIDDLESBROUGH","B","A"
"{50F18103-D074-9FD5-E050-A8C063054923}","600000","2017-04-28 00:00","O","N","F","HARTLEPOOL","HARTLEPOOL","HARTLEPOOL","B","A"
"{50F18103-D075-9FD5-E050-A8C063054923}","30000","2017-05-17 00:00","T","N","F","MIDDLESBROUGH","MIDDLESBROUGH","MIDDLESBROUGH","B","A"
"{50F18103-D076-9FD5-E050-A8C063054923}","275000","2017-05-25 00:00","S","N","F","BILLINGHAM","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D077-9FD5-E050-A8C063054923}","120000","2017-04-28 00:00","S","N","F","STOCKTON-ON-TEES","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D078-9FD5-E050-A8C063054923}","354000","2017-05-15 00:00","O","N","F","HARTLEPOOL","HARTLEPOOL","HARTLEPOOL","B","A"
"{50F18103-D079-9FD5-E050-A8C063054923}","120000","2017-04-26 00:00","O","N","F","SALTBURN-BY-THE-SEA","REDCAR AND CLEVELAND","REDCAR AND CLEVELAND","B","A"
"{50F18103-D07B-9FD5-E050-A8C063054923}","100000","2017-01-27 00:00","T","N","F","HARTLEPOOL","HARTLEPOOL","HARTLEPOOL","B","A"
"{50F18103-D07C-9FD5-E050-A8C063054923}","185000","2017-04-18 00:00","O","N","L","HARTLEPOOL","HARTLEPOOL","HARTLEPOOL","B","A"
"{50F18103-D07D-9FD5-E050-A8C063054923}","120000","2017-04-28 00:00","S","N","F","STOCKTON-ON-TEES","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D07E-9FD5-E050-A8C063054923}","270000","2017-04-28 00:00","D","N","F","MIDDLESBROUGH","MIDDLESBROUGH","MIDDLESBROUGH","B","A"
"{50F18103-D07F-9FD5-E050-A8C063054923}","119000","2017-05-03 00:00","S","N","F","STOCKTON-ON-TEES","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D080-9FD5-E050-A8C063054923}","39999","2017-05-03 00:00","T","N","F","MIDDLESBROUGH","MIDDLESBROUGH","MIDDLESBROUGH","B","A"
"{50F18103-D081-9FD5-E050-A8C063054923}","1540000","2017-04-11 00:00","O","N","F","STOCKTON-ON-TEES","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D082-9FD5-E050-A8C063054923}","860000","2017-04-11 00:00","O","N","F","STOCKTON-ON-TEES","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D083-9FD5-E050-A8C063054923}","45000","2017-03-29 00:00","S","N","F","MIDDLESBROUGH","REDCAR AND CLEVELAND","REDCAR AND CLEVELAND","B","A"
"{50F18103-D084-9FD5-E050-A8C063054923}","45000","2017-03-16 00:00","F","N","L","MIDDLESBROUGH","MIDDLESBROUGH","MIDDLESBROUGH","B","A"
"{50F18103-D085-9FD5-E050-A8C063054923}","135000","2017-04-28 00:00","S","N","F","BILLINGHAM","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D086-9FD5-E050-A8C063054923}","113000","2017-03-31 00:00","F","N","L","MIDDLESBROUGH","MIDDLESBROUGH","MIDDLESBROUGH","B","A"
"{50F18103-D087-9FD5-E050-A8C063054923}","90000","2017-04-25 00:00","S","N","F","STOCKTON-ON-TEES","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D088-9FD5-E050-A8C063054923}","115000","2017-03-31 00:00","T","N","F","STOCKTON-ON-TEES","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D089-9FD5-E050-A8C063054923}","5000","2017-05-19 00:00","O","N","L","SALTBURN-BY-THE-SEA","REDCAR AND CLEVELAND","REDCAR AND CLEVELAND","B","A"
"{50F18103-D08A-9FD5-E050-A8C063054923}","105000","2017-05-26 00:00","T","N","F","MIDDLESBROUGH","MIDDLESBROUGH","MIDDLESBROUGH","B","A"
"{50F18103-D08B-9FD5-E050-A8C063054923}","1000000","2017-03-24 00:00","O","N","F","SALTBURN-BY-THE-SEA","REDCAR AND CLEVELAND","REDCAR AND CLEVELAND","B","A"
"{50F18103-D08D-9FD5-E050-A8C063054923}","141000","2017-05-09 00:00","D","N","F","MIDDLESBROUGH","REDCAR AND CLEVELAND","REDCAR AND CLEVELAND","B","A"
"{50F18103-D08E-9FD5-E050-A8C063054923}","250000","2017-04-28 00:00","S","N","F","BILLINGHAM","HARTLEPOOL","HARTLEPOOL","B","A"
"{50F18103-D090-9FD5-E050-A8C063054923}","122000","2017-04-28 00:00","S","N","F","HARTLEPOOL","HARTLEPOOL","HARTLEPOOL","B","A"
"{50F18103-D091-9FD5-E050-A8C063054923}","40000","2017-01-24 00:00","O","N","L","STOCKTON-ON-TEES","STOCKTON-ON-TEES","STOCKTON-ON-TEES","B","A"
"{50F18103-D2D9-9FD5-E050-A8C063054923}","220000","2017-04-24 00:00","O","N","F","KINGTON","POWYS","POWYS","B","A"
"{50F18103-D2DB-9FD5-E050-A8C063054923}","112000","2017-04-07 00:00","S","N","F","SWANSEA","SWANSEA","SWANSEA","B","A"
"{50F18103-D2DC-9FD5-E050-A8C063054923}","170000","2017-03-29 00:00","O","N","F","HENGOED","CAERPHILLY","CAERPHILLY","B","A"
"{50F18103-D2DD-9FD5-E050-A8C063054923}","109000","2017-04-13 00:00","T","N","F","WREXHAM","WREXHAM","WREXHAM","B","A"
"{50F18103-D2DE-9FD5-E050-A8C063054923}","6000","2017-04-27 00:00","O","N","F","PENMAENMAWR","CONWY","CONWY","B","A"
"{50F18103-D2DF-9FD5-E050-A8C063054923}","198000","2017-04-20 00:00","T","N","F","WREXHAM","WREXHAM","WREXHAM","B","A"
"{50F18103-D2E0-9FD5-E050-A8C063054923}","52500","2017-05-19 00:00","S","N","F","PORT TALBOT","NEATH PORT TALBOT","NEATH PORT TALBOT","B","A"
"{50F18103-D2E1-9FD5-E050-A8C063054923}","120000","2017-03-10 00:00","O","N","L","BUCKLEY","FLINTSHIRE","FLINTSHIRE","B","A"
"{50F18103-D2E2-9FD5-E050-A8C063054923}","144000","2017-02-24 00:00","T","N","F","PONTYCLUN","RHONDDA CYNON TAFF","RHONDDA CYNON TAFF","B","A"
"{50F18103-D2E3-9FD5-E050-A8C063054923}","120000","2017-05-18 00:00","O","N","F","CARMARTHEN","CARMARTHENSHIRE","CARMARTHENSHIRE","B","A"
"{50F18103-D2E4-9FD5-E050-A8C063054923}","88000","2017-04-13 00:00","T","N","F","CAERPHILLY","CAERPHILLY","CAERPHILLY","B","A"
"{50F18103-D2E5-9FD5-E050-A8C063054923}","102000","2017-04-21 00:00","S","N","F","SWANSEA","SWANSEA","SWANSEA","B","A"
"{50F18103-D2E6-9FD5-E050-A8C063054923}","50000","2017-05-22 00:00","O","N","F","NEWTOWN","POWYS","POWYS","B","A"
"{50F18103-D2E8-9FD5-E050-A8C063054923}","739146","2017-03-31 00:00","O","N","F","WREXHAM","WREXHAM","WREXHAM","B","A"
"{50F18103-D2E9-9FD5-E050-A8C063054923}","467394","2017-03-30 00:00","O","N","F","RHYL","DENBIGHSHIRE","DENBIGHSHIRE","B","A"
"{50F18103-D2EA-9FD5-E050-A8C063054923}","49000","2017-04-21 00:00","T","N","F","NEATH","NEATH PORT TALBOT","NEATH PORT TALBOT","B","A"
"{50F18103-D2EB-9FD5-E050-A8C063054923}","84000","2017-05-05 00:00","O","N","F","COLWYN BAY","CONWY","CONWY","B","A"
"{50F18103-D2EC-9FD5-E050-A8C063054923}","1535000","2017-05-03 00:00","O","N","F","LLANDUDNO","CONWY","CONWY","B","A"
"{50F18103-D2ED-9FD5-E050-A8C063054923}","109000","2017-04-20 00:00","T","N","F","NEWPORT","CAERPHILLY","CAERPHILLY","B","A"
"{50F18103-D2EE-9FD5-E050-A8C063054923}","80000","2017-04-28 00:00","T","N","F","WREXHAM","WREXHAM","WREXHAM","B","A"
"{50F18103-D2EF-9FD5-E050-A8C063054923}","165000","2017-05-05 00:00","O","N","F","CAERPHILLY","CAERPHILLY","CAERPHILLY","B","A"
"{50F18103-D2F0-9FD5-E050-A8C063054923}","134995","2017-05-16 00:00","F","N","L","CARDIFF","CARDIFF","CARDIFF","B","A"
"{50F18103-D2F1-9FD5-E050-A8C063054923}","1274116","2017-04-28 00:00","O","N","F","RHYL","DENBIGHSHIRE","DENBIGHSHIRE","B","A"
"{50F18103-D2F2-9FD5-E050-A8C063054923}","60000","2017-04-13 00:00","T","N","F","MAESTEG","BRIDGEND","BRIDGEND","B","A"
"{50F18103-D2F4-9FD5-E050-A8C063054923}","210000","2017-04-19 00:00","O","N","F","BRIDGEND","BRIDGEND","BRIDGEND","B","A"
"{50F18103-D2F5-9FD5-E050-A8C063054923}","61000","2017-05-04 00:00","O","N","F","AMLWCH","ISLE OF ANGLESEY","ISLE OF ANGLESEY","B","A"
"{50F18103-D2F7-9FD5-E050-A8C063054923}","107000","2017-05-09 00:00","T","N","F","NEWPORT","CAERPHILLY","CAERPHILLY","B","A"
"{50F18103-D2F8-9FD5-E050-A8C063054923}","2950000","2017-04-03 00:00","O","N","F","LLANELLI","CARMARTHENSHIRE","CARMARTHENSHIRE","B","A"
"{50F18103-D2F9-9FD5-E050-A8C063054923}","71000","2017-05-16 00:00","O","N","F","TREHARRIS","MERTHYR TYDFIL","MERTHYR TYDFIL","B","A"
"{50F18103-D2FA-9FD5-E050-A8C063054923}","145000","2017-04-21 00:00","O","N","F","NEWCASTLE EMLYN","CARMARTHENSHIRE","CARMARTHENSHIRE","B","A"
"{50F18103-D2FB-9FD5-E050-A8C063054923}","950000","2017-05-19 00:00","O","N","F","NEWTOWN","POWYS","POWYS","B","A"
"{50F18103-D2FC-9FD5-E050-A8C063054923}","83000","2017-04-27 00:00","S","N","F","SWANSEA","SWANSEA","SWANSEA","B","A"
"{50F18103-D2FD-9FD5-E050-A8C063054923}","10500","2017-04-10 00:00","O","N","F","CARMARTHEN","CARMARTHENSHIRE","CARMARTHENSHIRE","B","A"
"{50F18103-D56E-9FD5-E050-A8C063054923}","174750","2017-05-17 00:00","O","N","F","BRIDPORT","WEST DORSET","DORSET","B","A"
"{50F18103-D56F-9FD5-E050-A8C063054923}","310000","2017-04-06 00:00","T","N","F","WAREHAM","PURBECK","DORSET","B","A"
"{50F18103-D570-9FD5-E050-A8C063054923}","465000","2017-04-03 00:00","O","N","F","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","B","A"
"{50F18103-D571-9FD5-E050-A8C063054923}","210000","2017-03-31 00:00","F","N","L","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","B","A"
"{50F18103-D572-9FD5-E050-A8C063054923}","185000","2017-04-21 00:00","T","N","F","SHAFTESBURY","NORTH DORSET","DORSET","B","A"
"{50F18103-D573-9FD5-E050-A8C063054923}","145000","2017-05-03 00:00","O","N","F","WAREHAM","PURBECK","DORSET","B","A"
"{50F18103-D574-9FD5-E050-A8C063054923}","164000","2017-05-23 00:00","O","N","F","LYME REGIS","WEST DORSET","DORSET","B","A"
"{50F18103-D575-9FD5-E050-A8C063054923}","175000","2017-03-31 00:00","O","N","F","POOLE","POOLE","POOLE","B","A"
"{50F18103-D576-9FD5-E050-A8C063054923}","300000","2017-05-09 00:00","F","N","L","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","B","A"
"{50F18103-D577-9FD5-E050-A8C063054923}","36000","2017-05-11 00:00","O","N","L","SWANAGE","PURBECK","DORSET","B","A"
"{50F18103-D578-9FD5-E050-A8C063054923}","150000","2017-02-28 00:00","O","N","F","POOLE","POOLE","POOLE","B","A"
"{50F18103-D579-9FD5-E050-A8C063054923}","178000","2017-04-20 00:00","O","N","L","SHAFTESBURY","NORTH DORSET","DORSET","B","A"
"{50F18103-D57A-9FD5-E050-A8C063054923}","35000","2017-05-04 00:00","O","N","L","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","B","A"
"{50F18103-D57B-9FD5-E050-A8C063054923}","600000","2017-04-18 00:00","D","N","F","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","B","A"
"{50F18103-D57C-9FD5-E050-A8C063054923}","552000","2017-04-18 00:00","D","N","F","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","B","A"
"{50F18103-D580-9FD5-E050-A8C063054923}","222500","2017-01-11 00:00","O","N","F","POOLE","POOLE","POOLE","B","A"
"{50F18103-D588-9FD5-E050-A8C063054923}","2160000","2017-01-20 00:00","O","N","F","STURMINSTER NEWTON","NORTH DORSET","DORSET","B","A"
"{50F18103-D589-9FD5-E050-A8C063054923}","7000","2017-01-04 00:00","O","N","F","RINGWOOD","EAST DORSET","DORSET","B","A"
"{50F18103-D58A-9FD5-E050-A8C063054923}","10000","2017-01-23 00:00","O","N","F","DORCHESTER","WEST DORSET","DORSET","B","A"
"{50F18103-D58B-9FD5-E050-A8C063054923}","156000","2017-01-25 00:00","O","N","L","SWANAGE","PURBECK","DORSET","B","A"
"{50F18103-D58D-9FD5-E050-A8C063054923}","60000","2017-01-26 00:00","O","N","L","SWANAGE","PURBECK","DORSET","B","A"
"{50F18103-D58E-9FD5-E050-A8C063054923}","60000","2017-01-26 00:00","O","N","L","SWANAGE","PURBECK","DORSET","B","A"
"{50F18103-D58F-9FD5-E050-A8C063054923}","18500","2017-02-03 00:00","O","N","L","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","B","A"
